KOD;BİLEŞEN ADI;AÇIKLAMA
PE12;3.  Dozaj Pompası;Kimyasal dozaj devresinde belirlenen debide sıvı enjeksiyonu sağlar. Dozaj tankı, seviye sensörü, dozaj vanası ve motor kontrol devresine bağlıdır.
PE13;Hassas Filre Pompası Motoru;Hassas filtrasyon hattında proses suyunun filtre girişine transferini sağlar. Filtre, emiş/basma vanaları ve motor koruma devresine bağlıdır.
PE14;Yağ Ayırıcı Pompası Motoru;Yağ ayırıcı devresinde yağlı fazın ayrıştırılması için sıvı sirkülasyonunu sağlar. Ayırıcı tank, vanalar ve motor kontrol devresine bağlıdır.
PE15;xxx Pompası Motoru;Proses hattında sıvı transferi ve sirkülasyon sağlar. İlgili emiş/basma hatları, vanalar, sensörler ve motor kontrol devresine bağlıdır.
FE01;Egzost Fanı Motoru;Proses ve kurutma sonrası nemli havanın egzoz hattından dışarı atılmasını sağlar. Egzoz kanalı, damper vanası ve motor koruma devresine bağlıdır.
FE02;1. Kurutma Fanı Motoru;Kurutma devresinde hücre içi hava sirkülasyonunu ve nem tahliyesini sağlar. Kurutma hattı, ısıtma devresi ve motor kontrol devresine bağlıdır.
FE03;2. Kurutma Fanı Motoru;Kurutma devresinde hücre içi hava sirkülasyonunu ve nem tahliyesini sağlar. Kurutma hattı, ısıtma devresi ve motor kontrol devresine bağlıdır.
FE04;1. Blower Motoru;Hücre veya proses hattında basınçlı hava üflemesi sağlar. Hava dağıtım hattı, kontrol vanası ve motor koruma devresine bağlıdır.
FE05;2. Blower Motoru;Hücre veya proses hattında basınçlı hava üflemesi sağlar. Hava dağıtım hattı, kontrol vanası ve motor koruma devresine bağlıdır.
FE06;3. Blower Motoru;Hücre veya proses hattında basınçlı hava üflemesi sağlar. Hava dağıtım hattı, kontrol vanası ve motor koruma devresine bağlıdır.
FE07;4. Blower Motoru;Hücre veya proses hattında basınçlı hava üflemesi sağlar. Hava dağıtım hattı, kontrol vanası ve motor koruma devresine bağlıdır.
FE08;xxx Fan Motoru;Hava akışını düzenler ve ilgili proses hattına transfer sağlar. Hava kanalı, vanalar ve motor kontrol devresine bağlıdır.
FE09;xxx Fan Motoru;Hava akışını düzenler ve ilgili proses hattına transfer sağlar. Hava kanalı, vanalar ve motor kontrol devresine bağlıdır.
FE10;xxx Fan Motoru;Hava akışını düzenler ve ilgili proses hattına transfer sağlar. Hava kanalı, vanalar ve motor kontrol devresine bağlıdır.
VE01;1. Vibrasyon  Motoru;Sepet veya tambur üzerinde titreşim uygulayarak parça ayrıştırma ve proses verimini destekler. Vibrasyon ünitesi, mekanik bağlantı ve motor koruma devresine bağlıdır.
VE02;2. Vibrasyon  Motoru;Sepet veya tambur üzerinde titreşim uygulayarak parça ayrıştırma ve proses verimini destekler. Vibrasyon ünitesi, mekanik bağlantı ve motor koruma devresine bağlıdır.
VE03;Vibrasyon xxx Motoru;Sepet veya tambur üzerinde titreşim uygulayarak parça ayrıştırma ve proses verimini destekler. Vibrasyon ünitesi, mekanik bağlantı ve motor koruma devresine bağlıdır.
VE04;Vibrasyon xxx Motoru;Sepet veya tambur üzerinde titreşim uygulayarak parça ayrıştırma ve proses verimini destekler. Vibrasyon ünitesi, mekanik bağlantı ve motor koruma devresine bağlıdır.
VE05;Vibrasyon xxx Motoru;Sepet veya tambur üzerinde titreşim uygulayarak parça ayrıştırma ve proses verimini destekler. Vibrasyon ünitesi, mekanik bağlantı ve motor koruma devresine bağlıdır.
GE01;Sepet Redüktörü Motoru;Yıkama sepetinin proses pozisyonları arasında döndürülmesini sağlar. Sepet tahrik mekanizması, pozisyon sensörleri ve motor/VFD devresine bağlıdır.
GE02;Tambur Redüktör Motoru;Tambur tip proses ekipmanının dönme hareketini sağlar. Tambur tahrik, mekanik bağlantı ve motor koruma devresine bağlıdır.
GE03;Otomatik Yükleme Motoru;Otomatik parça yükleme konveyörünün hareketini sağlar. Konveyör hattı, giriş/çıkış sensörleri ve motor kontrol devresine bağlıdır.
GE04;Kapı Redüktör Motoru;Hücre veya erişim kapısının açılıp kapanma hareketini sağlar. Kapı mekanizması, interlock sensörleri ve motor devresine bağlıdır.
GE05;1. Konveyör  Redüktör Motoru;Parça taşıma konveyörünün sürekli veya adım hareketini sağlar. Konveyör hattı, prox sensörleri ve motor kontrol devresine bağlıdır.
GE06;1. Yağ Sıyırıcı Redüktör Motoru;Yağ veya proses sıvısı yüzeyindeki tabakayı sıyırarak toplama devresine aktarımı destekler. Sıyırıcı mekanizma ve motor kontrol devresine bağlıdır.
GE07;2. Yağ Sıyırıcı Redüktör Motoru;Yağ veya proses sıvısı yüzeyindeki tabakayı sıyırarak toplama devresine aktarımı destekler. Sıyırıcı mekanizma ve motor kontrol devresine bağlıdır.
GE08;1. Yükleme( Konveyör) Redüktör Motoru;Otomatik parça yükleme konveyörünün hareketini sağlar. Konveyör hattı, giriş/çıkış sensörleri ve motor kontrol devresine bağlıdır.
GE09;2. Yükleme (Konveyör) Redüktör Motoru;Otomatik parça yükleme konveyörünün hareketini sağlar. Konveyör hattı, giriş/çıkış sensörleri ve motor kontrol devresine bağlıdır.
GE10;xxx Redüktör Motoru;Mekanik tahrik devresinde dönme/lineer hareket sağlar. İlgili mekanik grup, limit switch ve motor kontrol devresine bağlıdır.
R01;1. Proses Tankı 1. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R02;1. Proses Tankı 2. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R03;1. Proses Tankı 3. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R04;1. Proses Tank 4. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R05;1. Proses Tankı 5. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R06;2. Proses Tankı 1. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R07;2. Proses Tankı 2. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R08;2. Proses Tankı 3. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R09;2. Proses Tankı 4. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R10;2. Proses Tankı 5. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R11;3. Proses Tankı 1. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R12;3. Proses Tankı 2. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R13;3. Proses Tankı 3. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R14;3. Proses Tankı 4. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R15;3. Proses Tankı 5. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R16;4. Proses Tankı 1. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R17;4. Proses Tankı 2. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R18;4. Proses Tankı 3. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R19;4. Proses Tankı 4. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R20;4. Proses Tankı 5. Rezistans;Proses tankı sıvısının hedef sıcaklığa ısıtılmasını sağlar. Tank ısı sensörü, termostat/SSR ve PLC ısı kontrol devresine bağlıdır.
R21;1. Kurutma Rezistansı Grubu;Kurutma havasının ısıtılması için rezistans grubunu çalıştırır. Kurutma fanı, sıcaklık sensörü, SSR/kontaktör ve PLC ısı kontrol devresine bağlıdır.
R22;2. Kurutma Rezistansı Grubu;Kurutma havasının ısıtılması için rezistans grubunu çalıştırır. Kurutma fanı, sıcaklık sensörü, SSR/kontaktör ve PLC ısı kontrol devresine bağlıdır.
R23;3. Kurutma Rezistansı Grubu;Kurutma havasının ısıtılması için rezistans grubunu çalıştırır. Kurutma fanı, sıcaklık sensörü, SSR/kontaktör ve PLC ısı kontrol devresine bağlıdır.
R24;4. Kurutma Rezistansı Grubu;Kurutma havasının ısıtılması için rezistans grubunu çalıştırır. Kurutma fanı, sıcaklık sensörü, SSR/kontaktör ve PLC ısı kontrol devresine bağlıdır.
R25;5. Kurutma Rezistansı Grubu;Kurutma havasının ısıtılması için rezistans grubunu çalıştırır. Kurutma fanı, sıcaklık sensörü, SSR/kontaktör ve PLC ısı kontrol devresine bağlıdır.
R26;6. Kurutma Rezistansı Grubu;Kurutma havasının ısıtılması için rezistans grubunu çalıştırır. Kurutma fanı, sıcaklık sensörü, SSR/kontaktör ve PLC ısı kontrol devresine bağlıdır.
R27;xxx Rezistansı;Proses devresinde ısıtma sağlar. Sıcaklık sensörü, ısı kontrol rölesi ve PLC devresine bağlıdır.
R28;xxx Rezistansı;Proses devresinde ısıtma sağlar. Sıcaklık sensörü, ısı kontrol rölesi ve PLC devresine bağlıdır.
R29;xxx Rezistansı;Proses devresinde ısıtma sağlar. Sıcaklık sensörü, ısı kontrol rölesi ve PLC devresine bağlıdır.
R30;xxx Rezistansı;Proses devresinde ısıtma sağlar. Sıcaklık sensörü, ısı kontrol rölesi ve PLC devresine bağlıdır.
TD01;1.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD02;2.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD03;3.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD04;4.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD05;5.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD06;6.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD07;7.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD08;8.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD09;9.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
TD10;10.  Proses Tankı Ultrasonik Jeneratör Seti;Proses tankında ultrasonik temizleme için jeneratör/transdüser setini besler. Ultrasonik jeneratör, tank ve PLC proses kontrol devresine bağlıdır.
L01;Tepe Lambası - Uyarı Lambası;Makine durumu, alarm veya proses fazı bilgisini operatöre görsel olarak iletir. PLC dijital çıkış devresine bağlıdır.
L02;Hücre İçi Aydınlatma Lambası;Hücre içi bakım ve operasyon için aydınlatma sağlar. Pano beslemesi ve kontrol devresine bağlıdır.
L03;Pano Lambası;Elektrik panosu içi bakım aydınlatması sağlar. Pano kapı switch ve besleme devresine bağlıdır.
L04;xxx Lambası;Görsel bilgilendirme veya aydınlatma sağlar. İlgili besleme ve kontrol devresine bağlıdır.
L05;xxx Lambası;Görsel bilgilendirme veya aydınlatma sağlar. İlgili besleme ve kontrol devresine bağlıdır.
LS01;1. Proses Tankı Alt Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS02;1. Proses Tankı Orta Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS03;1. Proses Tankı Üst Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS04;2. Proses Tankı Alt Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS05;2. Proses Tankı Orta Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS06;2. Proses Tankı Üst Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS07;3. Proses Tankı Alt Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS08;3. Proses Tankı Orta Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS09;3. Proses Tankı Üst Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS10;4. Proses Tankı Alt Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS11;4. Proses Tankı Orta Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS12;4. Proses Tankı Üst Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS13;Hücre İçi 1. Seviye Sensörü;Hücre içi proses sıvısı seviyesini izler. Sepet, drenaj ve PLC seviye kontrol devresine bağlıdır.
LS14;Hücre İçi 2. Seviye Sensörü;Hücre içi proses sıvısı seviyesini izler. Sepet, drenaj ve PLC seviye kontrol devresine bağlıdır.
LS15;Hücre İçi 3. Seviye Sensörü;Hücre içi proses sıvısı seviyesini izler. Sepet, drenaj ve PLC seviye kontrol devresine bağlıdır.
LS16;Hücre İçi 4. Seviye Sensörü;Hücre içi proses sıvısı seviyesini izler. Sepet, drenaj ve PLC seviye kontrol devresine bağlıdır.
LS17;Drenaj Hattı 1. Seviye Sensörü;"Drenaj hattı veya tavasında sıvı seviyesini izler; taşma veya boş kalma durumunda PLC'ye sinyal verir. Drenaj hattı ve alarm/interlock devresine bağlıdır."
LS18;Drenaj Hattı 2. Seviye Sensörü;"Drenaj hattı veya tavasında sıvı seviyesini izler; taşma veya boş kalma durumunda PLC'ye sinyal verir. Drenaj hattı ve alarm/interlock devresine bağlıdır."
LS19;Drenaj Hattı 3. Seviye Sensörü;"Drenaj hattı veya tavasında sıvı seviyesini izler; taşma veya boş kalma durumunda PLC'ye sinyal verir. Drenaj hattı ve alarm/interlock devresine bağlıdır."
LS20;Drenaj Hattı 4. Seviye Sensörü;"Drenaj hattı veya tavasında sıvı seviyesini izler; taşma veya boş kalma durumunda PLC'ye sinyal verir. Drenaj hattı ve alarm/interlock devresine bağlıdır."
LS21;Vakum Pompası Tank Üst Seviye Sensörü;Vakum pompası tankında minimum/maksimum sıvı seviyesini izler. Vakum pompası, emiş hattı ve PLC seviye kontrol devresine bağlıdır.
LS22;Vakum Pompası Tank Alt Seviye Sensörü;Vakum pompası tankında minimum/maksimum sıvı seviyesini izler. Vakum pompası, emiş hattı ve PLC seviye kontrol devresine bağlıdır.
LS23;1. Dozaj Pompası Seviye Sensörü;"Dozaj tankı sıvı seviyesini izler; minimum seviyede dozaj pompası koruma sinyali üretir. Dozaj tankı ve PLC devresine bağlıdır."
LS24;2. Dozaj Pompası Seviye Sensörü;"Dozaj tankı sıvı seviyesini izler; minimum seviyede dozaj pompası koruma sinyali üretir. Dozaj tankı ve PLC devresine bağlıdır."
LS25;3. Dozaj Pompası Seviye Sensörü;"Dozaj tankı sıvı seviyesini izler; minimum seviyede dozaj pompası koruma sinyali üretir. Dozaj tankı ve PLC devresine bağlıdır."
LS26;Sızıntı Tavası Uyarı Seviye Sensörü;Sızıntı tavasında anormal sıvı birikimini algılar ve alarm/interlock sinyali üretir. PLC güvenlik devresine bağlıdır.
LS27;xxx Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS28;xxx Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS29;xxx Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
LS30;xxx Seviye Sensörü;Proses tankı veya hattında sıvı seviyesini izler. Dolum/drenaj vanaları, pompa interlock ve PLC dijital giriş devresine bağlıdır.
SS01;El Koruma Sensörü;Operatör elinin tehlikeli bölgeye girmesini algılar ve proses/hareket interlock sinyali üretir. PLC güvenlik devresine bağlıdır.
SS02;Interlock Kilit;"Kapak veya erişim noktası kilit/kapalı konumunu doğrular; güvenli olmayan durumda prosesi kilitleyen sinyal üretir. PLC interlock devresine bağlıdır."
SS03;Işın Bariyeri Safety Sensörü;Işın bariyeri kirişinin kesilmesini algılar ve acil durdurma/interlock sinyali üretir. PLC güvenlik devresine bağlıdır.
SS04;İnterlock Kilit Sensörü;"Kapak veya erişim noktası kilit/kapalı konumunu doğrular; güvenli olmayan durumda prosesi kilitleyen sinyal üretir. PLC interlock devresine bağlıdır."
SS05;1. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SS06;2. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SS07;3. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SS08;4. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SS09;5. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SS10;6. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SS11;7. KAPAK RFID SENSÖRÜ;Kapak RFID etiketini okuyarak yetkili kapak/konum doğrulaması yapar. Kapak interlock ve PLC güvenlik devresine bağlıdır.
PRS01;Sepet Pozisyon 1 Sensörü;Sepetin proses pozisyonunda olup olmadığını algılar. Sepet tahrik, proses interlock ve PLC dijital giriş devresine bağlıdır.
PRS02;Sepet Pozisyon 2 Sensörü;Sepetin proses pozisyonunda olup olmadığını algılar. Sepet tahrik, proses interlock ve PLC dijital giriş devresine bağlıdır.
PRS03;1. Konveyör Giriş Prox Sensörü;Konveyör girişinde parça varlığını algılar. Konveyör hattı, yükleme interlock ve PLC dijital giriş devresine bağlıdır.
PRS04;2. Konveyör Giriş Prox Sensörü;Konveyör girişinde parça varlığını algılar. Konveyör hattı, yükleme interlock ve PLC dijital giriş devresine bağlıdır.
PRS05;3. Konveyör Giriş Prox Sensörü;Konveyör girişinde parça varlığını algılar. Konveyör hattı, yükleme interlock ve PLC dijital giriş devresine bağlıdır.
PRS06;1. Konveyör Çıkış Prox Sensörü;Konveyör çıkışında parça varlığını algılar. Konveyör hattı, boşaltma interlock ve PLC dijital giriş devresine bağlıdır.
PRS07;2. Konveyör Çıkış Prox Sensörü;Konveyör çıkışında parça varlığını algılar. Konveyör hattı, boşaltma interlock ve PLC dijital giriş devresine bağlıdır.
PRS08;3. Konveyör Çıkış Prox Sensörü;Konveyör çıkışında parça varlığını algılar. Konveyör hattı, boşaltma interlock ve PLC dijital giriş devresine bağlıdır.
PRS09;xxx Prox Sensörü;Ekipman veya parça pozisyonunu algılar. İlgili mekanik grup ve PLC dijital giriş devresine bağlıdır.
PRS10;xxx Prox Sensörü;Ekipman veya parça pozisyonunu algılar. İlgili mekanik grup ve PLC dijital giriş devresine bağlıdır.
SWB01;1. Proses Pompa Emiş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB02;2. Proses Pompa Emiş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB03;3. Proses Pompa Emiş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB04;4. Proses Pompa Emiş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB05;Conta Şişirme Aktüator Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB06;Conta Söndürme Aktüator Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB07;1. Kurutma Hattı Aktüator Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB08;2. Kurutma Hattı Aktüator Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB09;Hücre Drenaj Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB10;Hücre Emiş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB11;Proses Ana Geri Dönüş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB12;Hat Temizleme Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB13;By-Pass Hattı Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB14;Ana Yıkama Nozul Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
